id,username,digital_ducks,bit_ducks,byte_ducks,status,timestamp
1,ben,1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",rejected,2025-03-25 14:42:33
2,ben,1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",rejected,2025-03-25 15:33:01
3,ben,2,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",rejected,2025-03-25 15:33:27
4,ben,8,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",rejected,2025-03-25 15:34:27
5,ben,1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",rejected,2025-03-25 15:37:01
6,ben,4,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",rejected,2025-03-25 15:38:51
7,ben,1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",rejected,2025-03-25 15:40:00
8,ben,8,"[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",rejected,2025-03-25 15:40:54
9,ben,1,"[1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",rejected,2025-03-25 15:41:07
10,ben,7,"[1, 1, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",approved,2025-03-25 15:44:20
11,ben,128,"[1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",rejected,2025-03-25 15:46:22
12,ben,1,"[1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",approved,2025-03-27 15:26:30
13,ben,8,"[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",approved,2025-03-27 15:26:37
14,ben,4,"[0, 0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",approved,2025-03-27 15:38:43
15,ben,1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",rejected,2025-03-27 15:40:25
16,ben,1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",approved,2025-03-27 15:41:27
17,ben,1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",rejected,2025-03-27 15:41:30
18,ben,1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",approved,2025-03-27 15:41:32
19,ben,16,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",approved,2025-03-27 15:42:26
20,ben,1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",approved,2025-03-27 15:48:46
21,ben,2,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",approved,2025-03-27 15:48:57
22,ben,4,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",approved,2025-03-27 15:49:00
23,ben,8,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",approved,2025-03-27 15:49:05
24,ben,1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",rejected,2025-03-27 15:50:16
25,ben,2,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",approved,2025-03-27 15:50:20
