username,domain,challenge_name,timestamp,course_id,course_instance,helper
blossomstudent27,www.ozaria.com,1fhcutscene1b,2025-03-18T10:27:20.120,,66f9219b4ec0b556536b73a4,
blossomstudent27,www.ozaria.com,1fhm1l1l1b,2025-03-18T10:27:51.368,,66f9219b4ec0b556536b73a4,
blossomstudent27,www.ozaria.com,1fhm1l1l2b,2025-03-18T10:29:34.246,,66f9219b4ec0b556536b73a4,
blossomstudent27,www.ozaria.com,1fhm1l1l3b,2025-06-17T10:20:12.694,,66f9219b4ec0b556536b73a4,
blossomstudent06,www.ozaria.com,1fhcutscene1b,2025-03-18T10:32:05.780,,66f9219b4ec0b556536b73a4,
blossomstudent06,www.ozaria.com,1fhm1l1l1b,2025-03-18T10:32:31.960,,66f9219b4ec0b556536b73a4,
blossomstudent06,www.ozaria.com,1fhm1l1l2b,2025-06-17T10:25:22.396,,66f9219b4ec0b556536b73a4,
blossomstudent27,www.ozaria.com,ch3m1l1cutscene1b,2025-03-18T11:02:02.947,,66f9219b4ec0b556536b73a4,
blossomstudent27,www.ozaria.com,ch3m1l1intro1b,2025-03-18T11:02:45.757,,66f9219b4ec0b556536b73a4,
blossomstudent27,www.ozaria.com,ch3m1l1l1b,2025-03-18T11:13:29.400,,66f9219b4ec0b556536b73a4,
blossomstudent27,www.ozaria.com,ch3m1l1l2b,2025-03-25T10:32:40.984,,66f9219b4ec0b556536b73a4,
blossomstudent27,www.ozaria.com,1fhm1l1l4b,2025-06-17T10:22:30.190,,66f9219b4ec0b556536b73a4,
blossomstudent27,www.ozaria.com,1fhm1l1l5b,2025-06-17T10:25:40.588,,66f9219b4ec0b556536b73a4,
blossomstudent06,www.ozaria.com,1fhm1l1l3b,2025-06-17T10:26:31.426,,66f9219b4ec0b556536b73a4,
blossomstudent27,www.ozaria.com,1fhm1l1l6b,2025-06-17T10:28:18.122,,66f9219b4ec0b556536b73a4,
blossomstudent06,www.ozaria.com,1fhm1l1l4b,2025-06-17T10:29:53.484,,66f9219b4ec0b556536b73a4,
blossomstudent27,www.ozaria.com,1fhm1l1l8b,2025-06-17T10:30:01.357,,66f9219b4ec0b556536b73a4,
blossomstudent27,www.ozaria.com,1fhcutscene2b,2025-06-17T10:30:29.175,,66f9219b4ec0b556536b73a4,
blossomstudent27,www.ozaria.com,1fhm1l2intro1b,2025-06-17T10:31:30.888,,66f9219b4ec0b556536b73a4,
blossomstudent27,www.ozaria.com,1fhm1l2l1b,2025-06-24T11:09:02.038,,66f9219b4ec0b556536b73a4,
blossomstudent16,www.ozaria.com,1fhcutscene1b,2025-06-22T06:24:03.949,,66f9219b4ec0b556536b73a4,
blossomstudent16,www.ozaria.com,1fhm1l1l1b,2025-06-22T06:51:53.716,,66f9219b4ec0b556536b73a4,
blossomstudent16,www.ozaria.com,1fhm1l1l2b,2025-06-22T06:52:23.478,,66f9219b4ec0b556536b73a4,
blossomstudent16,www.ozaria.com,1fhm1l1l3b,2025-06-22T06:28:14.520,,66f9219b4ec0b556536b73a4,
blossomstudent16,www.ozaria.com,1fhm1l1l4b,2025-06-22T06:36:06.642,,66f9219b4ec0b556536b73a4,
blossomstudent16,www.ozaria.com,1fhm1l1l5b,2025-06-22T06:38:21.102,,66f9219b4ec0b556536b73a4,
blossomstudent16,www.ozaria.com,1fhm1l1l6b,2025-06-22T06:40:39.259,,66f9219b4ec0b556536b73a4,
blossomstudent16,www.ozaria.com,1fhm1l1l8b,2025-06-22T06:42:18.203,,66f9219b4ec0b556536b73a4,
blossomstudent16,www.ozaria.com,1fhcutscene2b,2025-06-22T06:56:40.539,,66f9219b4ec0b556536b73a4,
blossomstudent16,www.ozaria.com,1fhm1l2intro1b,2025-06-22T06:45:59.011,,66f9219b4ec0b556536b73a4,
blossomstudent16,www.ozaria.com,1fhm1l2l1b,2025-06-22T06:46:46.795,,66f9219b4ec0b556536b73a4,
blossomstudent16,www.ozaria.com,1fhm1l2intro2b,2025-06-22T06:56:32.415,,66f9219b4ec0b556536b73a4,
blossomstudent16,www.ozaria.com,1fhm1l2l2b,2025-06-22T06:49:07.875,,66f9219b4ec0b556536b73a4,
blossomstudent16,www.ozaria.com,1fhm1l2l4b,2025-06-22T06:50:45.572,,66f9219b4ec0b556536b73a4,
blossomstudent27,www.ozaria.com,1fhm1l2intro2b,2025-06-24T11:12:11.659,,66f9219b4ec0b556536b73a4,
blossomstudent27,www.ozaria.com,1fhm1l2l2b,2025-06-24T11:14:44.765,,66f9219b4ec0b556536b73a4,
blossomstudent27,www.ozaria.com,1fhm1l2l4b,2025-06-24T11:17:05.954,,66f9219b4ec0b556536b73a4,
blossomstudent27,www.ozaria.com,1fhm1l2l5b,2025-06-24T11:19:20.185,,66f9219b4ec0b556536b73a4,
blossomstudent27,www.ozaria.com,1fhm1l2l6b,2025-06-24T11:22:03.844,,66f9219b4ec0b556536b73a4,
blossomstudent27,www.ozaria.com,1fhm1l2outrob,2025-06-24T11:24:19.576,,66f9219b4ec0b556536b73a4,
blossomstudent27,www.ozaria.com,1fhcutscene3b,2025-06-24T11:24:27.244,,66f9219b4ec0b556536b73a4,
blossomstudent27,www.ozaria.com,1fhm1l3intro1b,2025-06-24T11:25:44.059,,66f9219b4ec0b556536b73a4,
blossomstudent27,www.ozaria.com,1upm1l1l1,2025-07-01T10:24:12.161,,66f9219b4ec0b556536b73a4,
blossomstudent27,www.ozaria.com,1upm1l1l2,2025-07-01T10:24:50.857,,66f9219b4ec0b556536b73a4,
blossomstudent27,www.ozaria.com,1upm1l1l3,2025-07-01T10:33:07.310,,66f9219b4ec0b556536b73a4,
blossomstudent27,www.ozaria.com,1upm1l1l4,2025-07-01T10:35:58.779,,66f9219b4ec0b556536b73a4,
