id,conversation_id,user_id,content,message_type,is_struck,created_at,edited_at,deleted_at
1,1,2,"https://docs.google.com/presentation/d/1-14my0Irr9WcoIvfsuW2_zCbuUpkv9PJ8bPFnrMlLAQ/edit?usp=sharing, https://docs.google.com/presentation/d/11fHKG8hcSbUvQ_eI2Oq2unxE2FIV_l_hYbwUuez5X0Y/edit?usp=sharing, https://docs.google.com/presentation/d/1FO7iDmIXP2EmRsij7S2wDVgV2LjDRXmx075e56Ctndg/edit?usp=sharing, https://docs.google.com/presentation/d/1XUD7PN54lgKgIA58pKmm5AH4R9F0aADHVmrVy-V2qVs/edit?usp=sharing, https://docs.google.com/presentation/d/1imXAMJZbHH0cfFEceAzFilh1HyEiusz5FQJJRtxKOTw/edit?usp=sharing, https://docs.google.com/presentation/d/1jQHaA1zTS1S9T8-U6TXstxy9s3y-2hyXHpPyjaIjA2Q/edit?usp=sharing",text,0,2025-01-02 11:45:33.692854,,
2,2,2,https://www.booking.com/hotel/th/see-stars-amp-forest-resort.th.html?label=Low_CPA_English_EN_TH_21461894065-NtsmsSSAh1YhRgIXd7ExQAS217246540464%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atidsa-64416090385%3Alp9073384%3Ali%3Adec%3Adm&sid=b0c7914c1f2db0120d444aa3243462f4&aid=318615&ucfs=1&checkin=2025-01-27&checkout=2025-01-28&dest_id=0&dest_type=latlong&group_adults=2&no_rooms=1&group_children=1&age=0&req_age=0&matching_block_id=1039920802_395701070_2_1_0&atlas_src=sr_iw_title#_,text,0,2025-01-04 05:54:39.230815,,
3,3,2,https://social.mtdv.me/giveaways/--WYPgSD2S,text,0,2025-01-04 06:02:03.443282,,
4,3,2,https://www.bbc.co.uk/bitesize/topics/zj6pyrd/articles/z3tbgk7,text,0,2025-01-04 06:52:26.579819,,
5,3,7,is it safe,text,0,2025-01-04 06:53:03.214755,,
6,3,7,is it safe,text,0,2025-01-04 06:53:06.797786,,
7,3,2,It is safe,text,0,2025-01-04 06:53:11.207552,,
8,3,7,"jdrnydrhbjithdrfji
jbih6ihb",text,0,2025-01-04 07:03:43.702064,,
9,3,7,ywny5njsysnj5ys5ynss,text,0,2025-01-04 07:03:52.888228,,
10,3,2,"Game 1 - https://www.coolmathgames.com/0-blue-turn
Game 2 - https://www.safekidgames.com/block-triangle-puzzle/
Game 3 - https://www.coolmathgames.com/0-cactu-sama-2",text,0,2025-01-04 07:04:21.792654,,
11,3,4,hello,text,0,2025-01-04 07:05:12.661367,,
12,3,4,hello,text,0,2025-01-04 07:05:21.848909,,
13,4,2,"Game 1 - https://www.coolmathgames.com/0-cut-the-rope-magic
Game 2 - https://www.coolmathgames.com/0-crazy-eights",text,0,2025-01-04 08:31:36.476789,,
14,4,2,Game 1: https://www.typinggames.zone/typool-multiplayer-typing-game,text,0,2025-01-04 08:35:38.085513,,
15,4,2,Game 1 - https://www.typinggames.zone/typing-racer-multiplayer,text,0,2025-01-04 08:37:11.013963,,
16,5,2,D,text,0,2025-01-07 12:02:17.251718,,
17,5,7,suiii,text,0,2025-01-11 07:24:52.156716,,
18,5,2,"Game 1 - https://www.coolmathgames.com/0-fireboy-watergirl-2-light-temple
Game 2 - https://www.logicgamesonline.com/lightsout/",text,0,2025-01-11 07:24:58.335720,,
19,6,2,"Game 1 - https://www.puzzleplayground.com/all_flee.html
Game 2 - https://www.puzzleplayground.com/unpuzzle_2.html",text,0,2025-01-11 08:39:12.471393,,
20,7,2,"Game 1 - https://www.puzzleplayground.com/soko_gem.html
Game 2 - https://www.coolmathgames.com/0-blue",text,0,2025-01-12 07:14:13.426759,,
21,8,2,"Game 1 - https://www.puzzleplayground.com/puzzle_slide.html
Game 2 - https://www.coolmathgames.com/0-bokdown
Game 3 - https://www.puzzleplayground.com/matchkey.html",text,0,2025-01-14 10:12:15.622014,,
22,9,7,hi,text,0,2025-01-18 06:37:14.782526,,
23,9,2,Crack the Code Game - https://kids.nationalgeographic.com/games/action-adventure/article/crack-the-code-1,text,0,2025-01-18 06:37:17.366260,,
24,9,2,"Game 1 - https://www.crazygames.com/game/block-puzzle
Game 2 - https://www.thelogicgame.com/games/rope/index.html",text,0,2025-01-18 06:57:30.823014,,
25,10,2,"Game 3 - https://www.coolmathgames.com/0-brick-breaker
Game 4 - https://www.safekidgames.com/happy-filled-glass-4/",text,0,2025-01-21 11:34:53.633449,,
26,10,32,Poo is good,text,0,2025-01-21 11:36:51.737821,,
27,10,32,"A;gr fdg\
Fb [yg;afF",text,0,2025-01-21 11:37:45.320829,,
28,10,32,ABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZ,text,0,2025-01-21 11:39:03.715601,,
29,10,51,red light green light you move you died,text,0,2025-01-21 11:40:11.565847,,
30,11,7,hi,text,0,2025-01-25 06:35:26.770603,,
31,11,10,hi,text,0,2025-01-25 06:35:29.243052,,
